标题,布局,面积,方向,层数,详细地址,经纪人公司,经纪人,平米价格,总价,地理位置,经度,纬度
山作庭园景区内的别墅 背靠山前观景 超大平庭院 ,8室6厅4卫,240.0㎡ ,南,共3层,南口别墅-昌平-亭北路,王庄地产经纪人有限公司,剧娜,13541元/㎡,325万,北京市昌平区,116.231204,40.220660
售房山城关管道局两居室一层房龄新南北向采光好 繁 ,2室1厅1卫,68.0㎡ ,南,低层(共6层),管道局小区-房山-房山南大街,北京昊鑫伟业房地产经纪有限公司,程东霞,21764元/㎡,148万,北京市房山区管道局小区,115.984411,39.695953
燕郊 紧邻广场 天洋城精装两居 环境优美 可随时 ,2室1厅1卫,77.0㎡ ,南,中层(共28层),天洋城-燕郊-亿丰大街,三河市顺心置地房产经纪有限公司,夏红星,16883元/㎡,130万,河北省廊坊市三河市燕郊县天洋城小区,116.821234,39.965541
丰台云岗汤泉墅精装小三居诚心出售，电梯洋房温泉入 ,3室1厅1卫,95.0㎡ ,南北,低层(共6层),南宫景苑一区-丰台-南宫迎宾路33号,北京安晔居房地产经纪有限公司,许金剑,38947元/㎡,370万,北京市丰台区南宫景苑,116.154553,39.789023
万科金域东郡79平米全南两居 满两年 随时看房 ,2室1厅1卫,79.0㎡ ,南,低层(共28层),金域东郡-大兴-泰河三街,北京埃菲特国际房地产经纪有限公司,姜蕊,50632元/㎡,400万,北京市大兴区金域东郡,116.487790,39.753791
保利垄上独栋别墅 南花园400平 满五年 有钥匙 ,4室3厅4卫,388.0㎡ ,南北,地下(共2层),保利垄上-昌平-立汤路9号,北京豪宅天下房地产顾问有限责任公司,周晓彤,32989元/㎡,1280万,北京市昌平区保利垄上,116.398080,40.164032
三环的房子六环的价格，单价三万八入住南三环 ,2室1厅1卫,75.0㎡ ,南,中层(共28层),四方景园二区-丰台-方庄南路,北京联众恒业房地产经纪有限公司,李栋栋,38000元/㎡,285万,北京市丰台区四方景园二区,116.440904,39.857882
亦庄开发商直售 地铁口的精装现房  24万起 ,1室1厅1卫,33.0㎡ ,南,共3层,荣京丽都-大兴-荣京东街3号,北京金彤蕊房地产经纪有限公司,魏荣昌,21212元/㎡,70万,北京市大兴区荣京丽都,116.511335,39.794439
阜成门2号线 万明园金融街对面 板楼电梯房两居室 ,2室1厅1卫,62.0㎡ ,东西,中层(共14层),阜成门南大街小区-西城-阜成门南大街9号,北京埃菲特国际房地产经纪有限公司,岳明达,87096元/㎡,540万,北京市西城区阜成门南大街小区,116.355903,39.919288
急售，鑫乐汇正规一居，单价11200，看房方便， ,1室1厅1卫,63.0㎡ ,北,中层(共18层),"鑫乐汇-北京-神威北路,近燕灵路",三河市兴达恒远房地产经纪有限公司,薄东杰,11111元/㎡,70万,北京市海淀区鑫乐汇,116.317234,39.983586
Y农家院 平房小院 9.8万起 休闲娱乐仓储办公 ,1室1厅1卫,100.0㎡ ,南北,共1层,小汤山双兴苑-昌平-顺沙路,三河市兴达置业房产经纪有限公司,张利娜,10000元/㎡,100万,北京市昌平区小汤山双兴苑,116.386803,40.175900
Y景区独栋别墅 环境优美 依山傍水 享天然氧吧 ,2室1厅1卫,80.0㎡ ,南北,共2层,南口别墅-昌平-亭北路,三河市兴达置业房产经纪有限公司,张利娜,11000元/㎡,88万,北京市昌平区,116.231204,40.220660
电梯旁精装现房，30万安家，有大房本，40年使用 ,3室1厅1卫,12.0㎡ ,南,高层(共15层),华海苑-朝阳-老君堂中路,北京链家房地产经纪有限公司,张小路,39166元/㎡,47万,北京市朝阳区华海苑,116.509056,39.843409
林肯二期269四居+保姆间+中间楼层+随时看房 ,4室2厅3卫,269.0㎡ ,南北,中层(共28层),林肯公园B区-大兴-荣华北路,北京和居房地产经纪有限公司,刘子武,33457元/㎡,900万,北京市大兴区化园林肯公园b区,116.495681,39.806380
亦庄林肯公园 精装三居 纯新房从未入住 免拥金  ,3室2厅2卫,170.0㎡ ,东南,高层(共18层),林肯公园B区-大兴-荣华北路,北京和居房地产经纪有限公司,范青非,34117元/㎡,580万,北京市大兴区化园林肯公园b区,116.495681,39.806380
北京政府首批租赁房面向社会，房源多，总价少，外地 ,1室1厅1卫,12.0㎡ ,南北,中层(共17层),星岛嘉园(贵园北里乙区)-大兴-亦兴北路,北京链家房地产经纪有限公司,张小路,31666元/㎡,38万,北京市大兴区星岛嘉园,116.479186,39.799422
生物医药基地珺悦国际精装西北向小两居民水民电中央 ,2室1厅1卫,78.0㎡ ,西北,高层(共28层),珺悦国际-大兴-天华大街,北京信诚我家房地产经纪有限公司,李景营,23717元/㎡,185万,北京市大兴区珺悦国际,116.313375,39.686313
珺悦国际133平米三居高层有房本急售295万紧挨 ,3室2厅2卫,133.0㎡ ,南,中层(共28层),珺悦国际-大兴-天华大街,北京信诚我家房地产经纪有限公司,李景营,23308元/㎡,310万,北京市大兴区珺悦国际,116.313375,39.686313
生物医药基地珺悦国际103平西向大两居随时看房签 ,2室1厅2卫,103.0㎡ ,南,中层(共28层),珺悦国际-大兴-天华大街,北京信诚我家房地产经纪有限公司,李景营,25728元/㎡,265万,北京市大兴区珺悦国际,116.313375,39.686313
珺悦国际精装两居房本在手到价签约性价比高随时配合 ,2室2厅1卫,78.0㎡ ,东北,中层(共28层),珺悦国际-大兴-天华大街,北京信诚我家房地产经纪有限公司,李景营,24743元/㎡,193万,北京市大兴区珺悦国际,116.313375,39.686313
福乐园中间楼层，仅售55万 ,1室1厅1卫,60.0㎡ ,南北,中层(共6层),福乐园-北京周边-南新西道,北京美好家园房地产经纪有限公司,梁晓波,9166元/㎡,55万,北京市房山区福乐园,116.031128,39.597013
房山南六环外窑上村现房别墅、送小院 ,4室2厅2卫,120.0㎡ ,南北,共2层,逸轩家园-房山-公韩路,北京乐安家房地产经纪有限公司,周艳艳,15000元/㎡,180万,北京市房山区,116.143267,39.749144
滨水雅园一层送花园，仅售55万。 ,1室1厅1卫,59.0㎡ ,南北,共5层,滨水雅园西区-房山-刘夏路,北京美好家园房地产经纪有限公司,梁晓波,9322元/㎡,55万,北京市房山区滨水雅园西区,116.038533,39.619062
独栋别墅现房，带小院、停车位 ,4室2厅2卫,120.0㎡ ,南北,共2层,逸轩家园-房山-公韩路,北京乐安家房地产经纪有限公司,周艳艳,15000元/㎡,180万,北京市房山区,116.143267,39.749144
东三环精装公寓一居 紧邻地铁500米 一手现房  ,1室1厅1卫,30.0㎡ ,南,中层(共6层),太平桥中里-丰台-北京西站南路,北京金彤蕊房地产经纪有限公司,时蜀育,50000元/㎡,150万,北京市丰台区市太平桥中里,116.318987,39.886426
六合园 新华社家属院 实用两居 稳定出售 ,2室1厅1卫,70.0㎡ ,西北,低层(共18层),六合园-石景山-鲁谷南路,北京中原房地产经纪有限公司,郭雪梅,45714元/㎡,320万,北京市石景山区六合园,116.219904,39.899263
30平米12万，朱辛庄地铁双地铁线，电梯房，送家 ,1室1厅1卫,47.0㎡ ,南北,中层(共6层),五福家园-昌平-百沙路199号,北京天下名筑房地产经纪有限责任公司,李静,14042元/㎡,66万,北京市昌平区五福家园,116.265930,40.145658
远洋傲北 联排别墅业主急 售此房直降200万 ,5室3厅4卫,400.0㎡ ,南北,共4层,远洋傲北-昌平-立汤路36号,泛城置地(北京)房地产经纪有限公司,高树平,29500元/㎡,1180万,北京市昌平区远洋傲北,116.415150,40.143613
金海小区 3居 210万 M5W1 一小三中 业 ,3室1厅1卫,93.0㎡ ,南北,高层(共6层),金海小区-平谷-建设西街,北京鸿信房地产经纪有限公司,季文龙,22580元/㎡,210万,北京市平谷区金海小区,117.098280,40.137674
月坛公园 南礼士路46号 南北通透大两居 高层  ,2室1厅1卫,108.0㎡ ,南北,中层(共26层),南礼士路46号院-西城-南礼士路46号,北京中原房地产经纪有限公司,陶贞贞,152685元/㎡,1649万,北京市西城区南礼士路46号院,116.354649,39.915005
涿州孔雀城悦澜湾！！低首付！低总额！购入好时机！ ,2室2厅1卫,99.0㎡ ,南北,中层(共18层),"涿州孔雀城悦澜湾-北京周边-长虹路,近永念大街",涿州市鼎晖房地产经纪有限公司,刘俊,13939元/㎡,138万,北京市朝阳区悦澜湾,116.455266,39.915442
西山国际城 装修好的一居家具全齐 入住随时 看房 ,1室1厅1卫,33.0㎡ ,西,低层(共6层),西山国际城-海淀-阜石路甲69号,北京国泰大成房地产经纪有限责任公司,佟志丹,51515元/㎡,170万,北京市海淀区西山国际城,116.229226,39.927326
南四环 精装现房 25万一一30万/套 全套家具 ,1室1厅1卫,30.0㎡ ,南,中层(共6层),六里桥北里-丰台-莲怡园东路,北京金彤蕊房地产经纪有限公司,时蜀育,40000元/㎡,120万,北京市丰台区郝丹丹六里桥北里,116.303134,39.887968
J顺义石门地铁旁 精装公寓45万起 送家俱家电 ,2室1厅2卫,40.0㎡ ,南北,高层(共10层),顺义区马坡镇姚店村22号公寓-顺义-南陈路,北京千万家房地产经纪有限公司,田石头,15000元/㎡,60万,北京市顺义区姚店村,116.613989,40.179161
万通龙山逸墅，新推房源，景观房，南北通透，视野好 ,5室3厅4卫,320.0㎡ ,南北,地下(共4层),万通龙山逸墅-怀柔-庙城路28号,北京东升伟业房地产经纪有限公司,邓玉兰,23437元/㎡,750万,北京市怀柔区万通龙山逸墅,116.630225,40.284783
对面沃尔玛超市，北门重点中学，一千米中美医院，8 ,2室1厅1卫,77.0㎡ ,南,高层(共22层),燕京航城-燕郊-创意谷街778号,三河市顺心置地房产经纪有限公司,王提,25649元/㎡,197.5万,河北省廊坊市三河市北京燕郊东燕京航城,116.799259,39.974289
望都佳园93平米3居 送阁楼送地下室 ,3室2厅1卫,93.0㎡ ,东南,高层(共6层),龙庆望都佳园-延庆-西官路,北京建明福缘商贸中心,梅红娇,16989元/㎡,158万,北京市延庆区望都佳园,115.898426,40.376766
五环边 精装下叠 急售钥匙房 可以随时看 私家花 ,4室3厅4卫,297.0㎡ ,南北,共3层,京城雅居-朝阳-黄广路,京城亿墅（北京）房地产经纪有限公司,王晓丹,40404元/㎡,1200万,北京市朝阳区市朝阳区窦各庄京城雅居,116.559486,39.865443
北五环外精装电梯公寓，15万/套起全家具家电双地 ,1室1厅1卫,37.0㎡ ,南,中层(共6层),朱辛庄北区-昌平-朱辛庄东路,王庄地产经纪人有限公司,李梅,25945元/㎡,96万,北京市昌平区朱辛庄北区,116.310508,40.100370
鸿坤理想湾，77平1居，特价9900！高铁站+学 ,1室1厅1卫,88.0㎡ ,南北,低层(共23层),鸿坤理想湾-北京周边-润禾街,北京富田房地产经纪有限公司,张丽娟,15909元/㎡,140万,北京市丰台区鸿坤理想湾,116.311653,39.882679
七家地产 金色漫香郡两居 南北通透带独立餐厅 看 ,2室1厅1卫,90.0㎡ ,南北,中层(共8层),金融街金色漫香郡(北区)-大兴-海鑫北路18号,北京七家伟业房地产经纪有限公司,赵小凤,35555元/㎡,320万,北京市大兴区金融街金色漫香郡北区,116.400455,39.715123
鸟巢 盘古大观 奥森 板楼 婚房 朝外小学 知名 ,2室2厅1卫,108.0㎡ ,南,中层(共30层),汇园公寓-朝阳-北辰东路8号,北京天鼎龙房地产经纪有限公司,陈丽丽,60185元/㎡,650万,北京市朝阳区汇园酒店公寓,116.404479,39.994412
顺义新城楼房 巨大 紧临15号线 新盘特惠首付3 ,2室1厅2卫,77.0㎡ ,南,中层(共10层),宝龙国际公寓-顺义-裕华路,北京万嘉龙源房地产投资咨询有限公司,田石头,18961元/㎡,146万,北京市顺义区宝龙国际公寓,116.550461,40.095846
雅世合金旁永定华庭婚房精装临乐府江南欧洲公馆玉泉 ,1室1厅1卫,67.9㎡ ,西,高层(共11层),塞纳维拉永定华庭-海淀-永定路22号,北京融科万家房地产经纪有限公司,王亚军,81737元/㎡,555万,北京市海淀区永定华庭,116.265563,39.921677
劲松农光里大两居85平双朝东双阳台满五税少带电梯 ,2室1厅1卫,85.84㎡ ,东西,低层(共12层),农光里小区-朝阳-南磨房路,北京鸿基建业房地产经纪有限公司,林亚光,53588元/㎡,460万,北京市朝阳区农光里小区,116.464169,39.882398
大厂路劲阳光城 紧邻通州125平叠拼别墅 送车位 ,4室2厅2卫,125.0㎡ ,南北,共4层,"路劲国际城-北京周边-华夏南路,近大福路",三河市顺心置地房产经纪有限公司,孙健,21600元/㎡,270万,北京市,116.407526,39.904030
早安北京属通州区+一河之隔+外地人可买+均价14 ,2室2厅1卫,89.0㎡ ,南北,中层(共25层),福泰花园(西区)-北京周边-侯谭线,三河市上上城房产经纪有限公司,秦剑,15056元/㎡,134万,北京市,116.407526,39.904030
怀柔区金第梦想山 大三居 客厅通阳台 诚意出售  ,3室2厅2卫,124.0㎡ ,南北,中层(共15层),金第梦想山-怀柔-和平南路,北京天地神通房地产经纪有限公司,沈鑫鑫,37096元/㎡,460万,北京市怀柔区金第梦想山,116.682848,40.286020
三居带花园45平米 满五 唯一 随时看房子 总价 ,3室2厅2卫,148.0㎡ ,南北,低层(共6层),琴湖湾-顺义-右堤路,北京金隆基业房地产经纪有限公司,李彦,37162元/㎡,550万,北京市顺义区琴湖湾,116.716380,40.095819
紧邻双地铁线，自住+投Z优选，30平特价15万， ,1室1厅1卫,10.0㎡ ,南北,中层(共6层),冠芳园-昌平-定泗路,王庄地产经纪人有限公司,郭西振,25900元/㎡,25.9万,北京市昌平区冠芳园,116.305733,40.113347
西大望路 四环内 十里河 周庄嘉园一居室诚心出售 ,1室1厅1卫,57.0㎡ ,南,中层(共28层),周庄嘉园7号院-朝阳-西大望南路,美联美家房地产经纪（北京）有限公司,范琳,42982元/㎡,245万,北京市朝阳区周庄嘉园7号院,116.479561,39.862828
北京西南！首付20万，免社保网签快！通透三居，鸿 ,3室2厅1卫,98.0㎡ ,南北,中层(共34层),"鸿坤理想尔湾(公寓)-北京周边-影视城路,近富民街",北京富田房地产经纪有限公司,张丽娟,15306元/㎡,150万,北京市朝阳区公寓向东,116.507652,39.910932
绿城百合春晓苑 复式大四居精装 买房既住 ,4室1厅1卫,144.0㎡ ,南北,共5层,绿城百合公寓(南区)-房山-阎安西路,北京昊鑫伟业房地产经纪有限公司,刘艳霞,29097元/㎡,419万,北京市房山区绿城百合公寓南区,116.073081,39.710078
西源里 新中街物美对面 5层 电梯楼 城中心 看 ,2室2厅2卫,106.0㎡ ,南北,低层(共19层),西源里-密云-新中街,北京龙筑房地产经纪有限公司,明玥,28301元/㎡,300万,北京市密云区西源里,116.850611,40.382049
环北京别墅，低密邻水系，高尔夫+假日酒店+银行+ ,4室2厅4卫,270.0㎡ ,南北,共3层,京都颐和城-北京周边-京都旅游大道1号,北京富田房地产经纪有限公司,张丽娟,20000元/㎡,540万,北京市,116.407526,39.904030
朝阳朝青 国美城 三居室 双卫 800万 出售  ,3室2厅2卫,142.0㎡ ,南北,高层(共31层),国美第一城3号院-朝阳-青年路西里3号,北京埃菲特国际房地产经纪有限公司,于楠楠,56338元/㎡,800万,北京市朝阳区国美第一城3号院,116.514314,39.933490
地铁站800米，永旺商圈，精装修送家具家电，月返 ,1室1厅1卫,10.0㎡ ,南北,中层(共6层),农学院家属院-昌平-北清路,王庄地产经纪人有限公司,靳江涛,31500元/㎡,31.5万,北京市昌平区北京农学院离退休总支委员会北京农学院家属院,116.305749,40.092478
夏威夷蓝湾 2室 88平 南北通透两居180万业 ,2室1厅1卫,88.0㎡ ,南北,中层(共33层),夏威夷蓝湾-燕郊-迎宾路,三河市顺心置地房产经纪有限公司,陶耀荣,20454元/㎡,180万,河北省廊坊市三河市夏威夷,116.793638,39.956560
温泉花园 新上2层 全明格局 三居室 南北通透  ,3室2厅1卫,121.0㎡ ,南北,低层(共6层),温泉花园(B区)-昌平-立汤路,北京尚房房地产经纪有限公司,靳亚飞,30578元/㎡,370万,北京市昌平区温泉花园b区,116.416533,40.127953
长阳 熙悦汇 中央城 长阳天地 LOFT 一手  ,2室1厅1卫,50.0㎡ ,南北,低层(共7层),首开熙悦汇-房山-长泽南街,北京汇鑫伟业房地产经纪有限公司,贾红娜,25200元/㎡,126万,北京市房山区,116.143267,39.749144
