标题,布局,面积,方向,层数,详细地址,经纪人公司,经纪人,平米价格,总价,地理位置,经度,纬度
金色时光 西辛北区 正规一居 采光充足 诚心出售 ,1室1厅1卫,52.51㎡ ,南北,中层(共6层),西辛北区-顺义-西外街,北京金色时光房地产经纪有限公司,刘海洋,43039元/㎡,226万,北京市顺义区西辛北区,116.643419,40.139841
北五环精装现 房，交通便利，15万/套，包租15 ,1室1厅1卫,37.0㎡ ,南,高层(共6层),朱辛庄北区-昌平-朱辛庄东路,北京天下名筑房地产经纪有限责任公司,李登杰,24594元/㎡,91万,北京市昌平区朱辛庄北区,116.310508,40.100370
确认过眼神.你就是买房的人.首尔甜城.外地人可买 ,2室2厅1卫,72.0㎡ ,南北,中层(共33层),"燕达首尔国际村-燕郊-燕顺路,近京秦高速",三河市顺心置地房产经纪有限公司,张乐伦,13888元/㎡,100万,河北省廊坊市三河市国际村,116.784068,40.002181
特价9900，别墅+高尔夫+酒店+城铁+银行商业 ,2室2厅1卫,83.0㎡ ,南北,中层(共24层),"颐景华府-北京周边-京白路,近影视城路",北京富田房地产经纪有限公司,张丽娟,9518元/㎡,79万,北京市,116.407526,39.904030
鸿坤理想尔湾 紧邻房山 30l旁 新机场20公里 ,3室2厅1卫,92.0㎡ ,南北,中层(共28层),鸿坤理想尔湾(公寓)-北京周边-党京街001号,涿州市鼎晖房地产经纪有限公司,樊烨,15000元/㎡,138万,北京市朝阳区公寓向东,116.507652,39.910932
金海国际东向中间层两居 满五年 有钥匙随时可以看 ,2室2厅1卫,108.7㎡ ,东,中层(共23层),金海国际-朝阳-广渠路21号,北京埃菲特国际房地产经纪有限公司,马庆鹤,64397元/㎡,700万,北京市朝阳区金海国际,116.492737,39.894769
8万1居，10万2居，小户型 不限 购，地鉄+医 ,1室1厅1卫,42.0㎡ ,南北,中层(共34层),九里京城-北京周边-影视城路,北京富田房地产经纪有限公司,张丽娟,10714元/㎡,45万,北京市,116.407526,39.904030
送车位！送地下室！免社保70年，G4高速口，市区 ,2室2厅1卫,77.0㎡ ,南北,高层(共18层),润卓天伦湾-北京周边-华阳中路,北京富田房地产经纪有限公司,张丽娟,13636元/㎡,105万,北京市,116.407526,39.904030
301 医院边，小户型 宜租宜售，日租300，月 ,1室1厅1卫,43.0㎡ ,南,中层(共31层),九里京城-北京周边-影视城路,北京富田房地产经纪有限公司,张丽娟,10976元/㎡,47.2万,北京市,116.407526,39.904030
育才胡同、单价2万、100平、195万、老本唯一 ,3室1厅1卫,100.0㎡ ,南北,中层(共6层),平谷中学家属楼-平谷-建设街7号,北京鸿信房地产经纪有限公司,季文龙,19500元/㎡,195万,北京市平谷区平谷中学家属楼,117.118759,40.137298
永定路1号院中层南北两居玉泉xiao学另售玉海园 ,2室1厅1卫,63.0㎡ ,南北,中层(共6层),永定路1号院-海淀-永定路1号,北京融科万家房地产经纪有限公司,王亚军,66666元/㎡,420万,北京市海淀区永定路1号院,116.263756,39.924963
拥金1.2 一室一厅户型方正板楼无税 地铁公益西 ,1室1厅1卫,58.57㎡ ,北,低层(共6层),兴琦家园-丰台-角门南路48号,北京联众恒业房地产经纪有限公司,罗强,55489元/㎡,325万,北京市丰台区兴琦家园,116.375667,39.838629
长阳国际城 大两居 精装修 紧邻地铁 交通便利 ,2室1厅1卫,81.0㎡ ,南北,中层(共20层),馨然嘉园二区-房山-长政南街,北京汇鑫伟业房地产经纪有限公司,陶庆林,37037元/㎡,300万,北京市房山区房山区馨然嘉园二区,116.218323,39.757850
西三环 五福玲珑居一居 真实户型 真实价格 错过 ,1室1厅1卫,53.0㎡ ,南,低层(共15层),五福玲珑居-海淀-彰化路,北京大苑天地房地产经纪有限责任公司,刘明江,49056元/㎡,260万,北京市海淀区玲珑居,116.286361,39.939292
高家坡社区三室一厅一卫 ,3室1厅1卫,76.01㎡ ,南北,中层(共6层),高家坡社区-房山-高家坡路,北京华熙房地产经纪有限公司,张进海,19734元/㎡,150万,北京市房山区高家坡社区,115.946646,39.727868
房山窦店万科3居室，120平精装修，中等楼层，随 ,3室2厅2卫,120.0㎡ ,南北,低层(共15层),万科幸福汇-房山-大窦路257号,北京家和嘉业房地产经纪有限公司,李云,30000元/㎡,360万,北京市房山区万科幸福汇,116.066343,39.654681
怡馨家园 精装四居 三世同堂 满五年 ,4室2厅2卫,169.89㎡ ,南北,高层(共18层),怡馨家园-顺义-新顺南大街26号,北京金色时光房地产经纪有限公司,张成龙,41791元/㎡,710万,北京市顺义区权善花怡馨家园,116.648196,40.119632
首创新悦都次顶层三居，明厨明卫，采光棒，. ,3室2厅1卫,89.0㎡ ,西北,高层(共9层),首创新悦都-房山-京良路,北京汇鑫伟业房地产经纪有限公司,张笑笑,35505元/㎡,316万,北京市房山区新悦都,116.186268,39.773421
新房源：万通龙山逸墅 精装 把边户型通透 实景拍 ,4室2厅4卫,320.0㎡ ,南北,地下(共4层),万通龙山逸墅-怀柔-庙城路28号,北京东升伟业房地产经纪有限公司,邓玉兰,27500元/㎡,880万,北京市怀柔区万通龙山逸墅,116.630225,40.284783
天鹅湾北区，客厅挑高5.3米 满五复式 近大悦城 ,1室2厅2卫,76.32㎡ ,东,低层(共15层),天鹅湾北区-朝阳-甘露园中街,北京华中房地产经纪有限公司,杨洋,124475元/㎡,950万,北京市朝阳区天鹅湾北区,116.523366,39.921693
密云城建上河湾南区 温馨精装两居室 南北通透 电 ,2室1厅1卫,88.0㎡ ,南北,中层(共15层),北京城建上河湾(南区)-密云-京沈路,北京龙筑房地产经纪有限公司,刘星池,28409元/㎡,250万,北京市密云区北京城建上河湾南区,116.845118,40.397520
代理费1 奢华大宅 珠江壹仟栋 三期样板间 50 ,5室2厅3卫,503.0㎡ ,南,共2层,珠江壹千栋-昌平-定泗路99号,北京宏星房地产经纪有限公司,牛瑞贤,43737元/㎡,2200万,北京市昌平区珠江壹千栋,116.385316,40.119540
五星房源 满五年唯一 无贷款无抵押 南北通透 诚 ,2室1厅1卫,83.06㎡ ,南北,高层(共15层),加州水郡(西区)-房山-昊天北大街48号,北京华熙房地产经纪有限公司,张兰,35877元/㎡,298万,北京市房山区加洲水郡西区,116.162492,39.767917
香堂 独栋别墅220万起 依山傍水 顺风顺水 三 ,6室2厅4卫,200.0㎡ ,南,共1层,南口别墅-昌平-亭北路,王庄地产经纪人有限公司,曲洋洋,15000元/㎡,300万,北京市昌平区,116.231204,40.220660
天鹅湾南区 双卧朝北 满五 税低 精装修 热抢  ,2室2厅2卫,121.0㎡ ,东北,低层(共20层),天鹅湾南区-朝阳-甘露园中街,北京华中房地产经纪有限公司,杨洋,74380元/㎡,900万,北京市朝阳区天鹅湾南区,116.523075,39.919653
房源+燕西华府联排+送花园地下室+有车位+随时看 ,4室2厅3卫,365.0㎡ ,南北,共3层,亿城燕西华府(别墅)-丰台-泉湖西路1号,北京汇鑫伟业房地产经纪有限公司,祁麟,38356元/㎡,1400万,北京市丰台区西华府,116.111982,39.797619
宏福苑南二区 北向开间 精装修 户型方正 中高层 ,1室1厅1卫,42.64㎡ ,北,高层(共22层),宏福苑(南一区)-昌平-定泗路,北京家博仕房地产经纪有限责任公司,唐秀琴,23452元/㎡,100万,北京市昌平区宏福苑,116.366964,40.113499
顺义幸福东区 精装修，中楼层，采光好。产权清晰 ,2室1厅1卫,63.1㎡ ,南北,中层(共6层),幸福东区-顺义-新顺北大街,北京金紫燕房地产经纪有限公司,娄来旭,38034元/㎡,240万,北京市顺义区郭子修脚幸福东区,116.658316,40.134675
急售58平正规一居室 朝南向 满五唯一 ！ 急售 ,1室1厅1卫,58.0㎡ ,南,中层(共24层),晓月新城-丰台-晓月中路,北京融泰汇通房地产经纪有限公司,闫小杰,42241元/㎡,245万,北京市丰台区晓月新城,116.241514,39.835931
宏福苑南二区 精装修 南向一居 温泉入户 中间层 ,1室1厅1卫,63.09㎡ ,南,中层(共18层),宏福苑(南一区)-昌平-定泗路,北京家博仕房地产经纪有限责任公司,唐秀琴,23775元/㎡,150万,北京市昌平区宏福苑,116.366964,40.113499
西长安壹号 带燃气公寓 330万两居室 可住核心 ,2室1厅2卫,90.0㎡ ,西南,高层(共17层),西长安壹号-门头沟-西长安壹号,北京金城阜业房地产经纪有限公司,平少伟,36666元/㎡,330万,北京市门头沟区西长安|1号,116.112549,39.907679
万科直营，南北通透，格局方正，万科精装，万科物业 ,2室1厅1卫,99.0㎡ ,南北,中层(共27层),金域华府-昌平-龙域中路,北京万科物业服务有限公司,常士军,63636元/㎡,630万,北京市昌平区万科金域华府,116.308271,40.064680
地铁良乡大学城西站+天恒水岸壹号+高档洋房大户型 ,3室2厅2卫,122.0㎡ ,南北,低层(共6层),天恒水岸壹号-房山-揽秀南大街,北京华熙房地产经纪有限公司,谢小素,48032元/㎡,586万,北京市房山区天恒水岸|1号,116.156822,39.712772
生物医药基地 珺悦国际小区78平米小两居室 有钥 ,2室1厅1卫,78.0㎡ ,西北,低层(共28层),珺悦国际-大兴-天华大街,北京盛鑫美业房地产经纪有限公司,范德旭,23717元/㎡,185万,北京市大兴区珺悦国际,116.313375,39.686313
金台园 首层出售 把边全明格局 三居室 南北通透 ,3室1厅1卫,72.9㎡ ,南北,低层(共6层),金台园小区-怀柔-迎宾北路,北京龙筑房地产经纪有限公司,蒋镇泽,33607元/㎡,245万,北京市怀柔区金台园小区,116.642517,40.322581
首尔甜城 星河园 南北通透大三居 精装的房子 业 ,3室2厅2卫,124.0㎡ ,南北,低层(共29层),首尔甜城-燕郊-燕顺路与化工大街交叉口东北,三河市富地房产经纪有限公司,韩冰玉,22580元/㎡,280万,河北省廊坊市三河市燕效首尔甜城,116.783872,40.001809
怡馨家园 正规2居 电梯房 无税 全明格局看房方 ,2室1厅1卫,87.0㎡ ,南北,中层(共11层),怡馨家园-顺义-新顺南大街26号,北京金色时光房地产经纪有限公司,张兴军,44827元/㎡,390万,北京市顺义区权善花怡馨家园,116.648196,40.119632
新桥小区 2居室 南北通透 精装 干净整洁 ,2室1厅1卫,61.2㎡ ,南北,低层(共6层),新桥小区-门头沟-新桥南大街,北京金城阜业房地产经纪有限公司,平少伟,38398元/㎡,235万,北京市门头沟区新桥小区,116.101934,39.938125
天竺大三居，楼层好，无遮挡，采光好，4万平会所， ,3室2厅3卫,120.0㎡ ,南北,低层(共6层),万科天竺悦城-顺义-花园西街,北京华和信房地产经纪有限公司,许瑶,56666元/㎡,680万,北京市顺义区天竺万科天竺悦城,116.560989,40.055314
首开熙悦山双子座 精装复式 小户型 有房本 ,1室1厅1卫,50.0㎡ ,南,中层(共15层),首开熙悦汇-房山-长泽南街,北京汇鑫伟业房地产经纪有限公司,伦玉飞,24000元/㎡,120万,北京市房山区,116.143267,39.749144
"临河观景,南北通透,装修好,北观花园南观河 ",3室1厅2卫,179.76㎡ ,南北,低层(共28层),东湖湾(东区)-朝阳-利泽西街6号,北京中原房地产经纪有限公司,王龙,121272元/㎡,2180万,北京市朝阳区东湖湾东区,116.464273,40.007238
中信新城 南北通透小三居 精装修 采光好 随时看 ,3室2厅1卫,90.31㎡ ,南北,低层(共12层),中信府世家-大兴-三海子东路,北京安家乐业房地产经纪有限公司,高润泽,53150元/㎡,480万,北京市大兴区中信府世家,116.471493,39.785804
九棵树城铁旁满五年家庭一套 南北通透格局 H户型 ,2室1厅2卫,98.46㎡ ,南北,中层(共6层),蓝调沙龙-通州-怡乐北街,北京埃菲特国际房地产经纪有限公司,侯吉男,45703元/㎡,450万,北京市通州区蓝调沙龙,116.651355,39.886871
昌盛园三区.正规2居室.满五.单价3.7万. ,2室1厅1卫,84.25㎡ ,南北,中层(共6层),昌盛园三区-昌平-昌盛路,北京昌房房地产经纪有限公司,田刚,36795元/㎡,310万,北京市昌平区盛园三区,116.255623,40.209208
竹木厂 西马庄 正规三居 业主诚售 102平米2 ,3室1厅1卫,102.0㎡ ,南北,高层(共6层),竹木厂小区-通州-通燕高速,北京通正家园房地产经纪有限公司,刘莎莎,20588元/㎡,210万,北京市通州区竹木厂小区,116.625791,39.911000
急售房山燕山 迎风四里 精装两居 商品房没税 5 ,2室1厅1卫,58.0㎡ ,东西,低层(共6层),迎风一里-房山-迎风街,北京德馨乐居房地产经纪有限公司,倪龙沙,22068元/㎡,128万,北京市房山区迎风一里,115.953882,39.733144
代理费1 三期独栋别墅 毛坯 有加建带电梯 ,7室3厅6卫,670.0㎡ ,南北,共3层,珠江壹千栋-昌平-定泗路99号,北京宏星房地产经纪有限公司,牛瑞贤,27611元/㎡,1850万,北京市昌平区珠江壹千栋,116.385316,40.119540
长阳 天恒水岸 有山有水有树林 有品质有商业 ,4室2厅3卫,220.0㎡ ,南北,共5层,天恒水岸壹号-房山-揽秀南大街,北京汇鑫伟业房地产经纪有限公司,陈姚姚,50000元/㎡,1100万,北京市房山区天恒水岸|1号,116.156822,39.712772
东城 国瑞城低层商品两居室 满五年 采光无遮挡  ,2室1厅1卫,69.08㎡ ,西,低层(共16层),国瑞城中区-崇文-国瑞东路23号,北京中原房地产经纪有限公司,刘跃斌,92646元/㎡,640万,北京市东城区国瑞城中区,116.422871,39.898373
8号线地铁旁，精装修公寓，特价房30平15万/  ,1室1厅1卫,50.0㎡ ,南北,中层(共6层),五福家园-昌平-百沙路199号,北京市全荣居房地产经纪有限公司,张含嫣,16000元/㎡,80万,北京市昌平区五福家园,116.265930,40.145658
东三环 华威桥 翌景嘉园 高档小区 三室两厅两卫 ,3室2厅2卫,181.0㎡ ,东北,低层(共28层),翌景嘉园-朝阳-东三环南路21号,北京鸿基建业房地产经纪有限公司,杨容庆,60773元/㎡,1100万,北京市朝阳区翌景嘉园,116.459195,39.873078
《好房源》北街家园一区大三居室，自住装修，采光好 ,3室1厅1卫,89.0㎡ ,南北,低层(共18层),天朗园(北街家园一区)-昌平-高教园北二街,北京优速房地产经纪有限公司,刘帅,40449元/㎡,360万,北京市昌平区天朗园,116.266632,40.163185
刚需+养老，通州高端住宅+南北通透，采光好+总价 ,3室2厅2卫,89.0㎡ ,南北,中层(共20层),K2十里春风-通州-漷小路,北京悦成房地产经纪有限公司,迟雪梅,25730元/㎡,229万,北京市通州区,116.656435,39.909946
"景园大厦+不临街观景两居室,带南向,精装修保养好 ",2室2厅3卫,164.0㎡ ,西南,中层(共19层),景园大厦-朝阳-景园小街1号,北京海宇世纪房地产经纪有限公司朝阳第一分部,殷振兴,67073元/㎡,1100万,北京市朝阳区景园大厦,116.473000,39.935800
保利花园南区 123平290万独立3居南北通透  ,3室2厅2卫,123.0㎡ ,南北,低层(共6层),保利花园(南区)-密云-阳光街,北京吉永达房地产经纪有限公司,霍海英,23577元/㎡,290万,北京市密云区保利花园南区,116.864174,40.369139
燕郊首尔房子 单价1.2万+地铁旁边+精装修+随 ,2室2厅1卫,77.0㎡ ,南北,高层(共26层),"燕达首尔国际村-北京-燕顺路,近京秦高速",三河市顺心置地房产经纪有限公司,宋伟超,11558元/㎡,89万,北京市朝阳区国际村,116.450305,39.968023
朱辛庄地铁6层电梯房20万，纯南向，采光好，家电 ,1室1厅1卫,37.0㎡ ,南,低层(共6层),朱辛庄北区-昌平-朱辛庄东路,廊坊信和置地房地产经纪有限公司,李洋,26756元/㎡,99万,北京市昌平区朱辛庄北区,116.310508,40.100370
北六环金品四合院，依山傍水，环境优美，交通便利， ,3室1厅3卫,200.0㎡ ,南,共1层,畅金园四合院-昌平-崔河路,王庄地产经纪人有限公司,陈旭,8400元/㎡,168万,北京市昌平区畅金园四合院,116.351098,40.199660
"漫香苑店双卧室客厅朝南,眼.镜房户型,宽敞大气 ",3室2厅2卫,141.0㎡ ,南北,地下(共8层),金色漫香苑-昌平-天权路2号,北京豪宅天下房地产顾问有限责任公司,常丽丽,42553元/㎡,600万,北京市昌平区金色漫香苑,116.426448,40.130622
华龙小区，婚房装修，全明一居室，南北通透，首付1 ,1室1厅1卫,52.0㎡ ,南北,高层(共6层),华龙小区-通州-潞苑南大街230号,北京晟铭阁房地产经纪有限公司,刘杰,45192元/㎡,235万,北京市通州区通州华龙小区,116.688447,39.930554
使用面积180平 装修70万 家具家电随房 有钥 ,3室2厅1卫,125.62㎡ ,西南,低层(共6层),阳光邑上-房山-良乡东路56号,北京华熙房地产经纪有限公司,曹晓艳,39802元/㎡,500万,北京市房山区阳光邑上别墅,116.159765,39.729693
